Dist1,Dist2,Dist3,Dist4,Dist5,Dist6,Dist7,Choice,Velocity
63,149,57,41,58,148,59,8.0,0.0
63,149,57,41,58,148,59,8.0,0.0
63,149,57,41,58,148,60,3.0,0.015
62,149,56,41,57,148,60,3.0,0.0649999999999999
61,149,56,41,57,148,61,3.0,0.115
61,149,57,41,56,148,61,3.0,0.165
61,149,57,41,57,148,61,3.0,0.2150000000000001
62,149,56,41,56,148,62,3.0,0.2650000000000001
60,149,57,41,57,148,62,3.0,0.3150000000000001
60,149,58,40,56,148,61,3.0,0.3650000000000002
61,149,57,41,55,148,62,3.0,0.4150000000000002
59,149,58,41,55,148,60,3.0,0.4650000000000003
58,148,58,40,56,148,62,3.0,0.5150000000000003
59,149,59,41,55,148,63,3.0,0.5650000000000004
59,149,59,40,55,148,61,3.0,0.6150000000000004
59,149,57,40,55,148,63,3.0,0.6650000000000005
59,149,59,39,54,148,63,3.0,0.7
59,149,59,40,53,148,63,3.0,0.7
60,149,58,39,54,148,63,3.0,0.7
59,149,59,39,53,148,64,3.0,0.7
60,149,58,38,53,148,65,3.0,0.7
62,149,57,38,53,148,64,3.0,0.7
61,149,57,39,53,148,65,3.0,0.7
62,149,56,38,52,148,64,3.0,0.7
61,149,57,38,53,148,65,3.0,0.7
62,149,55,37,52,148,64,3.0,0.7
63,149,56,38,53,148,63,3.0,0.7
64,149,54,37,54,148,63,3.0,0.7
63,149,53,37,54,148,62,3.0,0.7
64,149,55,37,55,148,62,3.0,0.7
62,149,57,38,53,148,62,4.0,0.7
60,149,59,37,51,148,66,3.0,0.7
62,149,57,37,52,148,63,3.0,0.7
62,149,56,36,54,143,63,3.0,0.7
63,149,53,36,57,136,63,3.0,0.7
63,149,54,36,59,129,62,3.0,0.7
61,149,59,36,54,132,64,3.0,0.7
62,149,56,35,56,125,62,3.0,0.7
59,149,60,36,52,127,64,4.0,0.7
60,149,60,36,56,124,64,3.0,0.7
59,149,65,35,52,128,67,4.0,0.7
61,150,64,35,59,123,65,3.0,0.7
62,149,59,33,148,116,64,3.0,0.7
62,145,63,33,78,118,62,4.0,0.7
63,142,60,35,88,116,62,3.0,0.7
63,133,65,32,81,121,62,4.0,0.7
64,131,64,33,85,119,61,3.0,0.7
63,119,77,34,68,133,62,4.0,0.7
64,126,62,35,78,126,59,3.0,0.7
67,133,54,36,92,119,58,3.0,0.7
69,140,50,37,116,112,54,3.0,0.7
66,131,52,38,87,122,55,3.0,0.7
68,138,51,40,102,115,52,3.0,0.7
64,129,56,40,81,133,53,4.0,0.7
63,133,57,43,80,132,51,4.0,0.7
59,126,63,42,71,148,54,3.0,0.7
59,127,66,43,68,148,54,4.0,0.7
58,132,63,43,70,147,53,3.0,0.7
60,139,62,45,74,148,53,3.0,0.7
60,146,61,44,77,143,51,3.0,0.7
60,149,60,45,83,136,49,3.0,0.7
58,149,62,46,82,135,49,4.0,0.7
56,150,64,46,78,140,50,3.0,0.7
55,149,67,47,76,140,50,4.0,0.7
53,147,72,47,72,146,52,3.0,0.7
53,149,70,47,72,139,51,3.0,0.7
53,149,70,47,75,132,51,3.0,0.7
52,149,75,48,72,133,51,4.0,0.7
52,149,73,47,71,127,52,3.0,0.7
50,142,82,47,66,130,55,4.0,0.7
50,135,86,46,61,127,58,3.0,0.7
51,142,81,46,63,120,56,3.0,0.7
50,129,88,45,59,118,61,4.0,0.7
52,132,84,45,149,112,60,3.0,0.7
53,139,79,43,149,105,60,3.0,0.7
56,146,74,42,149,98,58,3.0,0.7
57,149,71,42,149,91,57,3.0,0.7
57,149,66,41,149,84,54,3.0,0.7
59,149,66,42,138,77,52,3.0,0.7
56,147,74,42,144,75,50,4.0,0.7
52,125,88,44,149,74,50,4.0,0.7
52,110,134,46,149,74,50,4.0,0.7
51,101,149,47,149,73,47,4.0,0.7
52,94,149,49,149,75,46,4.0,0.7
51,89,149,49,149,76,44,4.0,0.7
51,83,149,49,150,81,43,4.0,0.7
50,83,149,51,149,87,43,4.0,0.7
50,83,149,51,148,97,43,4.0,0.7
46,82,149,50,103,117,44,4.0,0.7
44,83,148,50,85,146,46,4.0,0.7
44,82,147,50,74,149,51,4.0,0.7
43,82,140,50,64,149,57,4.0,0.7
44,79,138,50,58,149,65,4.0,0.7
44,79,137,49,52,149,75,3.0,0.7
49,90,148,45,53,149,73,6.0,0.7
52,103,148,43,54,149,67,3.0,0.7
54,110,148,42,54,149,68,3.0,0.7
58,122,71,40,56,149,64,3.0,0.7
59,129,66,40,57,149,63,3.0,0.7
55,125,71,40,51,149,71,3.0,0.7
57,128,74,39,49,149,74,4.0,0.7
55,121,84,39,44,149,86,3.0,0.7
60,139,64,36,45,149,80,6.0,0.7
63,148,55,35,47,150,76,6.0,0.7
69,148,49,35,51,149,70,3.0,0.7
74,148,45,35,57,149,65,6.0,0.7
75,148,44,37,63,149,60,3.0,0.7
82,148,45,39,76,149,57,6.0,0.7
94,148,44,42,105,114,50,3.0,0.7
91,148,47,45,120,107,49,3.0,0.7
87,148,49,47,132,100,46,3.0,0.7
71,148,53,48,99,122,46,4.0,0.7
60,148,61,48,83,149,48,4.0,0.7
52,148,67,49,73,149,52,4.0,0.7
48,148,76,48,66,149,56,3.0,0.7
50,147,74,48,65,149,55,3.0,0.7
48,148,82,48,59,149,62,4.0,0.7
47,120,98,47,53,149,73,4.0,0.7
47,118,99,46,49,149,81,3.0,0.7
51,125,92,43,48,149,84,3.0,0.7
52,132,85,41,46,149,85,3.0,0.7
58,148,67,39,47,149,77,6.0,0.7
59,148,64,37,47,149,78,3.0,0.7
63,148,56,36,48,149,74,6.0,0.7
67,148,53,36,50,149,72,3.0,0.7
74,148,48,37,57,150,64,6.0,0.7
84,148,43,38,70,149,58,6.0,0.7
83,148,45,40,74,149,57,3.0,0.7
94,148,45,43,96,126,51,6.0,0.7
96,142,47,46,112,106,47,3.0,0.7
